STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,370557,2,2,25,0,26,6,2015,0,35.29455556,-80.43440556
North Carolina,370558,3,7,27,0,23,6,2015,0,35.79696111,-81.5279
North Carolina,370559,1,1,27,0,29,6,2015,0,35.90502778,-81.3819
North Carolina,370560,3,3,35,3300,21,6,2015,0,35.65505833,-81.21160278
North Carolina,370561,2,2,49,0,30,6,2015,0,35.32393889,-77.20466944
North Carolina,370562,2,3,51,1670,12,6,2015,0,35.02555833,-78.89572222
North Carolina,370563,2,2,67,9997,18,6,2015,0,36.24818333,-80.35289444
North Carolina,370564,1,1,67,5120,19,6,2015,0,36.08844444,-80.25786111
North Carolina,370565,2,4,77,0,4,6,2015,0,36.18711389,-78.74056944
North Carolina,370566,1,2,79,0,26,6,2015,0,35.45823333,-77.57891389
North Carolina,370567,1,1,99,0,24,6,2015,0,35.37102778,-83.20519444
North Carolina,370568,1,1,105,4090,28,6,2015,0,35.51083889,-79.19529444
North Carolina,370569,1,2,119,870,22,6,2015,99999,35.2301,-80.85991667
North Carolina,370570,2,2,119,870,29,6,2015,99999,35.27675,-80.80062222
North Carolina,370571,1,2,125,4270,21,6,2015,99999,35.15796667,-79.41292778
North Carolina,370572,2,2,127,3788,30,6,2015,99999,36.03296944,-77.90202778
North Carolina,370573,1,2,133,0,27,6,2015,99999,34.84430278,-77.47553333
North Carolina,370574,1,1,133,0,28,6,2015,99999,34.76845278,-77.3499
North Carolina,370575,1,1,141,0,9,6,2015,99999,34.40423889,-77.64016944
North Carolina,370576,3,5,155,0,14,6,2015,99999,34.69296667,-79.26918889
North Carolina,370577,2,2,155,0,28,6,2015,99999,34.7986,-78.94135278
North Carolina,370578,1,1,155,0,30,6,2015,99999,34.85031389,-79.11225
North Carolina,370579,1,4,161,0,22,6,2015,99999,35.305825,-81.985425
North Carolina,370580,2,2,183,0,25,6,2015,99999,35.65148056,-78.70682778
North Carolina,370582,2,2,183,3750,26,6,2015,99999,35.91501389,-78.78535556
North Carolina,370583,3,7,191,0,18,6,2015,99999,35.32809167,-78.03581389
North Carolina,370584,1,1,191,1880,25,6,2015,99999,35.37936111,-77.94528056
North Carolina,370585,1,1,195,0,21,6,2015,99999,35.66864444,-77.87357222
North Carolina,370586,1,1,197,0,29,6,2015,99999,36.12086389,-80.68681111
